timestamp,sumOpenInterest,sumOpenInterestValue
2025-06-20 05:00:00,77850.59100000,8113849687.69645500
2025-06-20 06:00:00,78022.41000000,8157254559.95548000
2025-06-20 07:00:00,77996.45800000,8164840171.61134700
2025-06-20 08:00:00,78820.11800000,8336299432.10480000
2025-06-20 09:00:00,79103.34500000,8377931321.33287300
2025-06-20 10:00:00,79069.12700000,8373274977.19319300
2025-06-20 11:00:00,79372.70100000,8406878685.46650000
2025-06-20 12:00:00,79425.25200000,8414017263.87866100
2025-06-20 13:00:00,79561.07300000,8428447256.49174500
2025-06-20 14:00:00,79177.78600000,8362717101.53483800
2025-06-20 15:00:00,79099.19700000,8217869964.50640200
2025-06-20 16:00:00,78636.90100000,8191488021.81850000
2025-06-20 17:00:00,79071.04300000,8193286125.92990000
2025-06-20 18:00:00,77667.38600000,8017315043.97678300
2025-06-20 19:00:00,77480.97200000,7990449932.31880000
2025-06-20 20:00:00,77409.57600000,7996440164.63040000
2025-06-20 21:00:00,77453.20600000,8027947348.69400000
2025-06-20 22:00:00,77377.53900000,8006849767.38030000
2025-06-20 23:00:00,77257.92900000,7962526646.04180000
2025-06-21 00:00:00,77505.70600000,8002115368.82300000
2025-06-21 01:00:00,77590.26500000,8007445780.14510000
2025-06-21 02:00:00,77701.77300000,8039056515.28920000
2025-06-21 03:00:00,77666.45700000,8034501776.90160000
2025-06-21 04:00:00,77627.56500000,8029444103.68742600
2025-06-21 05:00:00,77644.50900000,8023796630.78167900
2025-06-21 06:00:00,77544.36600000,8015869675.53240000
2025-06-21 07:00:00,77573.40100000,8030564055.03651000
2025-06-21 08:00:00,77375.02700000,8001024484.99347700
2025-06-21 09:00:00,77560.07500000,8048731119.52919800
2025-06-21 10:00:00,77653.90900000,8060327039.08627600
2025-06-21 11:00:00,77686.04000000,8063571158.27504300
2025-06-21 12:00:00,77540.41500000,8051207386.44600000
2025-06-21 13:00:00,77502.55000000,8041604012.45643500
2025-06-21 14:00:00,76801.71200000,7951210985.14003850
2025-06-21 15:00:00,76524.86800000,7921358323.72132900
2025-06-21 16:00:00,76570.82100000,7926456791.76775200
2025-06-21 17:00:00,76340.27200000,7897352046.34983900
2025-06-21 18:00:00,76385.20600000,7878683326.18460000
2025-06-21 19:00:00,75480.48200000,7745044709.97180000
2025-06-21 20:00:00,75638.59300000,7730922260.35910000
2025-06-21 21:00:00,75302.04500000,7736179935.27957900
2025-06-21 22:00:00,75338.72500000,7638804276.18000000
2025-06-21 23:00:00,75062.58000000,7636448394.10306500
2025-06-22 00:00:00,75459.01900000,7702841567.71620000
2025-06-22 01:00:00,75287.39700000,7740673722.55500000
2025-06-22 02:00:00,74878.73900000,7664595211.91390000
2025-06-22 03:00:00,75217.21800000,7696410779.57095500
2025-06-22 04:00:00,75349.25500000,7711242756.70000000
2025-06-22 05:00:00,75566.30700000,7746929028.92642200
2025-06-22 06:00:00,76018.49700000,7816559071.05429500
2025-06-22 07:00:00,75882.08800000,7793932728.77680000
2025-06-22 08:00:00,75679.83000000,7749538912.17000000
2025-06-22 09:00:00,76146.39900000,7818186839.16690000
2025-06-22 10:00:00,75742.55200000,7737881646.27835400
2025-06-22 11:00:00,75832.10500000,7768999157.25000000
2025-06-22 12:00:00,75918.92400000,7796387613.68640000
2025-06-22 13:00:00,76038.89600000,7810034444.01079700
2025-06-22 14:00:00,77656.93100000,7829216469.55800000
2025-06-22 15:00:00,78904.60600000,7858430908.46283200
2025-06-22 16:00:00,79560.95700000,7866204251.38184800
2025-06-22 17:00:00,79342.67800000,7904141975.34676900
2025-06-22 18:00:00,78775.78200000,7832676837.87871700
2025-06-22 19:00:00,78682.82300000,7819892363.85500000
2025-06-22 20:00:00,78933.09100000,7801586117.05859850
2025-06-22 21:00:00,78022.52900000,7763233833.24710000
2025-06-22 22:00:00,77773.06400000,7709768271.22240000
2025-06-22 23:00:00,78988.69800000,7970923290.31560000
2025-06-23 00:00:00,78683.30200000,7940490209.53660600
2025-06-23 01:00:00,77753.76200000,7841451346.94760000
2025-06-23 02:00:00,77543.98900000,7835633982.87640000
2025-06-23 03:00:00,77809.49500000,7878276317.12446500
2025-06-23 04:00:00,77799.51100000,7865865099.99730000
2025-06-23 05:00:00,77688.43200000,7855551321.72512200
2025-06-23 06:00:00,77702.08300000,7903361798.86283200
